,file number,district code,district name,neighborhood code,neighborhood name,street code,street name,postal no.,i describe the day of the week,nk  year,month/year,month name,day month,shift description,time of day,i describe a pedestrian cause,desc type of vehicle involved,description of sex,how old are you?,description of the type of person,i describe the place of the road run over,descriptio reason for commuting,i describe the reason for the displacement of the driver,victimization description,utm x ed50 coordinate,utm and ed50 coordinate,length wgs84,wgs84 latitude
0,2021S001906    ,1,Ciutat Vella,1,el Raval,68503,Carretes,0044 0044,Dimarts,2021,4,Abril,13,Tarda,20,No és causa del  vianant,Bicicleta,Dona,8,Vianant,A la vorera / Andana                                                                                                                                  ,Oci i entreteniment,Desconegut,Ferit lleu: Hospitalització fins a 24h,430455.95,4581207.96,2.167208586,41.377540907
1,2021S001254    ,1,Ciutat Vella,1,el Raval,198804,Paral·lel,0050B0050B,Divendres,2021,3,Març,12,Matí,12,No és causa del  vianant,Taxi,Home,58,Vianant,A la vorera / Andana                                                                                                                                  ,Oci i entreteniment,Desconegut,Ferit lleu: Hospitalització fins a 24h,430812.07,4580929.31,2.171498769,41.375061901
2,2021S005693    ,1,Ciutat Vella,1,el Raval,250904,Pelai,0056 0056,Dilluns,2021,10,Octubre,11,Tarda,19,No és causa del  vianant,Veh. mobilitat personal amb motor,Dona,52,Vianant,A la vorera / Andana                                                                                                                                  ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,430626.85,4582082.01,2.169152029,41.385427979
3,2021S000623    ,1,Ciutat Vella,1,el Raval,282106,Riera Alta,0010 0010,Dissabte,2021,2,Febrer,6,Tarda,15,No és causa del  vianant,Bicicleta,Home,47,Vianant,A la vorera / Andana                                                                                                                                  ,Desconegut,Desconegut,Ferit lleu: Rebutja assistència sanitària,430434.78,4581547.79,2.166916414,41.380599825
4,2021S005042    ,1,Ciutat Vella,1,el Raval,701367,Raval,0053 0053,Diumenge,2021,9,Setembre,12,Tarda,17,No és causa del  vianant,Veh. mobilitat personal amb motor,Home,4,Vianant,A la vorera / Andana                                                                                                                                  ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,430746.05,4581254.77,2.170672148,41.377987545
5,2021S003310    ,1,Ciutat Vella,2,el Barri Gòtic,74404,Catalunya,0017 0017,Dijous,2021,6,Juny,17,Tarda,20,No és causa del  vianant,Bicicleta,Dona,90,Vianant,A la vorera / Andana                                                                                                                                  ,Oci i entreteniment,Desconegut,Ferit lleu: Hospitalització fins a 24h,430817.52,4582213.64,2.171417231,41.38662996
6,2021S003310    ,1,Ciutat Vella,2,el Barri Gòtic,74404,Catalunya,0017 0017,Dijous,2021,6,Juny,17,Tarda,20,No és causa del  vianant,Bicicleta,Home,31,Conductor,A la vorera / Andana                                                                                                                                  ,Desconegut,Oci i entreteniment,Ferit lleu: Amb assistència sanitària en lloc d'accident,430817.52,4582213.64,2.171417231,41.38662996
7,2021S001814    ,1,Ciutat Vella,2,el Barri Gòtic,177101,Laietana,0033 0033,Divendres,2021,4,Abril,9,Tarda,17,No és causa del  vianant,Bicicleta,Dona,54,Vianant,A la vorera / Andana                                                                                                                                  ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,431289.75,4582035.61,2.177084989,41.385066992
8,2021S001728    ,1,Ciutat Vella,3,la Barceloneta,197302,Marina,0019 0021,Diumenge,2021,4,Abril,4,Matí,10,Altres,Bicicleta,Dona,45,Conductor,A la vorera / Andana                                                                                                                                  ,Desconegut,Oci i entreteniment,Ferit lleu: Hospitalització fins a 24h,432920.15,4582244.14,2.196559991,41.387082853
9,2021S004468    ,1,Ciutat Vella,3,la Barceloneta,197903,Marítim de la Barceloneta,0008B0008B,Dimarts,2021,8,Agost,10,Tarda,14,Altres,Veh. mobilitat personal amb motor,Home,42,Vianant,A la vorera / Andana                                                                                                                                  ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,432398.19,4581062.0,2.190449584,41.376391889
